commit	event	strategy_name	sharpe	max_dd	note
7a58a63	create	MeanRevRSIDip	0.0330	-22.5157	RSI<28 + 1d SMA50 regime + vol-conditional sizing (4h ATR>3.5% halves stake). 327 trades, WR 62%, PF 1.03 — barely positive aggregate; per-pair: BNB carries (Sharpe +0.20, profit +21%), others ~0. Vol-sizing keeping it survivable in 2022 but edge is thin. Evolve direction: regime gate may be too soft; consider tighter SMA100 1d or stop-loss to cap drawdowns on dips that don't bounce.
7a58a63	create	ChannelADXTrend	-2.1371	-74.5971	1d SMA100 regime + 4h ADX>22 + 1h EMA20 cross-back entry; equal-weight (no sizing). 4404 trades over 5y×5pairs (~880/pair) = death by 1000 cuts. WR 19%, PF 0.82, profit -73%. The EMA20 cross-back fires constantly (every wiggle through fast EMA in choppy regimes); ADX>22 + 1d SMA100 gates are too permissive to filter the noise. All 5 pairs negative or flat. Diagnosis: entry trigger too sensitive; need slower MA + stricter trend confirmation. Evolve heavily next round, do NOT kill yet — the paradigm needs a fair test before judgment.
7a58a63	create	VolBreakoutSized	1.0853	-15.9557	Per-pair Donchian-24 + 4h EMA50>EMA200 regime + vol1.3x + SMA30 patient exit + vol-target sizing (4h ATR% to 2.5% target). All 5 pairs positive (Sharpe +0.02 to +0.37); SOL/BNB/AVAX strong (+0.30 to +0.37), BTC weakest at +0.02. 1376 trades, WR 35% (typical breakout WR), PF 1.27. Sharpe matches v0.3.0 BTCLeaderBreakX peak (1.07) on regime-MIXED data — vol-target sizing apparently de-risking 2022 effectively. DD -16% is bigger than BTCLeaderBreakX's -8.8% (single-regime), suggesting 2022 still hurt despite sizing. Goodhart-clean: profit +150% with Sharpe up, no exit_profit_only, no clipped ROI.
8c3442c	evolve	ChannelADXTrend	-0.3666	-34.1482	Evolved: pullback-and-reclaim entry + ADX>25 + 4h EMA20>EMA50. Trades 4404→1352 (-69%), Sharpe -2.14→-0.37, profit -73%→-24%. Big improvement but STILL losing. WR stuck at 18% (was 19%) — entry quality didn't improve, only frequency dropped. Diagnosis: pullback-and-reclaim is fighting trend (in trends, brief touches of EMA50 are stop-runs, not buy zones). Round 3 will pivot to continuation-style entry (close > EMA50 + new high) instead of dip-buy.
8c3442c	stable	MeanRevRSIDip	0.0330	-22.5157	1 stable. Identical to r1 (deterministic). BNB still the only carrier (+21% profit), other pairs hover ~0. Plan to evolve r3 with stoploss to cap 2022 catch-the-knife losses.
8c3442c	stable	VolBreakoutSized	1.0853	-15.9557	1 stable. Locking the baseline. All 5 pairs positive. Plan: leave stable for at least 1 more round — DD -16% is the worry, may need stricter regime gate eventually but not yet (don't break what works).
1813cc0	evolve	ChannelADXTrend	0.0565	-23.6403	Evolved: pullback→5-bar-high continuation entry. Sharpe -0.37→+0.06, WR 18%→26%, PF 0.89→1.02, profit -24%→+5%. FIRST CROSSING into positive territory. Trades 1352→915. Per-pair: SOL +0.15 (leader), ETH +0.05, BTC -0.01, BNB/AVAX still negative. Continuation > pullback for trend-following confirmed. r4 plan: add rising-ADX filter (only enter when ADX_4h is increasing — catches accelerating trends, skips fading ones).
1813cc0	evolve	MeanRevRSIDip	-0.2192	-29.5356	Stoploss -7% BACKFIRED. Sharpe 0.033→-0.22, profit +4%→-19%, WR 62%→55%, DD -22%→-29%. The -7% stop realized losses on RSI<28 dips that would have recovered (fundamental MR vs stoploss mismatch — MR entries are SUPPOSED to be temporarily underwater before bouncing). Hypothesis falsified cleanly. r4 plan: revert stoploss to -0.99 AND tighten regime gate to 1d SMA100 (was SMA50) — instead of sizing-through bear, structurally exclude bear from the trade universe entirely.
1813cc0	stable	VolBreakoutSized	1.0853	-15.9557	2 stable. Identical numbers (deterministic). Locking baseline; will need to touch by r5 per stagnation rule.
63962e6	evolve	ChannelADXTrend	0.0503	-18.4666	Evolved: rising-ADX(4h) acceleration filter. Sharpe 0.06→0.05 flat aggregate, but trades 915→459 (-50%), WR 26%→32%, DD -23%→-18%, profit ~5%→5.5%. Per-pair: BTC +0.13 ETH +0.07 SOL +0.04 BNB ~0 AVAX -0.11 — FOUR of five pairs now positive (was 1/5 in r2). Structurally better even though aggregate Sharpe didn't move. The acceleration filter is doing its job (skipping fading trends). AVAX still problematic — historical alt-laggard pattern.
63962e6	evolve	MeanRevRSIDip	-0.0468	-23.5884	Evolved: stoploss reverted (-0.07→-0.99) AND 1d regime tightened (SMA50→SMA100). Sharpe 0.033→-0.047 (regression). Realized SMA100 vs SMA50 inversion: in uptrends SMA100 < SMA50 so close > SMA100 is MORE permissive, backwards from intent. Trade count actually rose (327→370). After 2 rounds of evolves both negative, MR is essentially zero-edge with BNB carry. Per loop-ambition discipline, pivot structurally next round: kill + replace with cross-pair-ratio MR (tests v0.3.0 Finding 5 — cross-pair signal in regime-mix data — directly).
63962e6	stable	VolBreakoutSized	1.0853	-15.9557	3 stable. Stagnation rule triggers next round — must evolve/fork/kill. Plan: cautious evolve (volume 1.3x→1.4x) — small tightening, easy git-reset if regression. Avoid forking until we have a meaningful alternative hypothesis to test on the child.
ec575ca	stable	ChannelADXTrend	0.0503	-18.4666	1 stable. r4 evolution holding; aggregate flat. Will let it accumulate stables — current state acceptable but not improving. Possible r7+ direction: AVAX-specific exclusion or alt-laggard handling.
ec575ca	create	CrossPairMR	-0.0523	-37.4993	Created: alt/BTC ratio z<-2 over 48h + BTC bull regime gate. BTC excluded via metadata (0 trades, expected). 796 trades aggregate (~200/pair on alts). WR 57%, PF 0.98 — slight edge per win but losses bigger. DD -37.5% (deep) — strategy holds in cascading alt crashes (2022) until z>0 reversion which can take quarters. Per-pair: BNB only positive (+0.09 Sharpe), ETH/SOL/AVAX -0.02 to -0.06. This BNB-only pattern matches MeanRevRSIDip — TWO MR implementations show same per-pair asymmetry. Emerging finding: MR paradigm on this universe is structurally BNB-skewed. r6 plan: rebound-start trigger (only enter when z rising, not still falling) — should cut catch-the-knife losses materially.
