commit	event	strategy_name	sharpe	max_dd	note
edf1687	create	AltsBollBreak	-2.33	-45.03	r0 baseline. Bollinger-20-upper + ADX>25 + vol confirm on SOL/AVAX/BNB. winter -25.4% / sharpe -2.33; full_5y -1.1% on 974 trades / sharpe -0.0078. BaH winter -85% so we beat BaH on absolute DD but lose on Sharpe. Mechanism: upper-band entries catch local tops that revert — wr 32.7% on full_5y. profit_floor FAIL across both timeranges. Hypothesis "Bollinger breakout works on alts" looking weak; r1 either invert to lower-band reversion or add follow-through confirmation.
edf1687	create	BNBMeanRevertSharp	0.0789	-3.10	r0 baseline. RSI<25 entry / RSI>55 exit on BNB-only with 1d-EMA200*0.85 regime gate. ALL 4 regimes positive: bull 0.35/+5.15%, winter 0.23/+3.78% (vs BaH winter -53%), recovery 0.08/+3.41%, full 0.13/+10.8%. WR 68-81% — signal is real but trade count tiny (16/25/72/115). Loses to BaH on Sharpe in bull/recovery/full but beats BaH cleanly in winter. profit_floor FAIL because per-regime profits are 3-10% (threshold 20%). The new affordances both worked: pair_basket isolated BNB-specific MR alpha cleanly, test_timeranges proved cross-regime robustness. r1 priority: relax entry to RSI<30 to lift trade count and per-regime profit.
edf1687	create	TrendRegimeFiltered	-0.3054	-22.48	r0 baseline. 4h EMA20>EMA50 + 1d close>EMA200 regime gate, full 5-pair, equal-weight. bull 0.50/+141%, winter -0.31/-6.17% on 15 trades, full_5y 0.38/+415%/DD-22.5%. The 1d regime filter DID work directionally (winter trade count 15 vs uninhibited would be ~80+) but residual entries in winter were mostly bad (WR 26.7%). full_5y beats BaH on profit (+415% vs +1740%, no — BaH wins) but Sharpe 0.38 < BaH 1.15. profit_floor FAIL on winter -6.17%. r1 priority: tighten regime filter — 1d EMA200 ALONE not enough; add 1d slope (EMA200 rising) or stricter buffer like close > EMA200 * 1.05.
1ab2657	evolve	AltsBollBreak	-1.18	-39.25	r1: BB-upper-single-bar → Donchian-48 sustained-break + 4h ema50>ema200 macro. Trade count 974→60, full_5y profit -1.1%→+894%, sharpe -0.008→0.17. Winter still bleeds: -32.3% / sharpe -1.18 on 11 trades all losers (WR 0%). Macro filter cuts noise but residual entries during 4h-momentum-flips in winter still kill. Direction good — paradigm itself works; needs winter defense.
1ab2657	evolve	BNBMeanRevertSharp	-0.38	-9.51	r1: RSI<25→<30 BACKFIRED across all 4 regimes. trade count 115→192 but bull 0.35→0.23, winter 0.23→-0.38, recovery 0.08→-0.05, full 0.13→-0.06. The marginal RSI 25-30 entries are losers — sharp signal decay at RSI~25 on BNB. <25 is the local optimum for this signal. Reverting r2.
1ab2657	evolve	TrendRegimeFiltered	-0.39	-23.14	r1: tighten 1d filter from `close>EMA200` to `close>EMA200*1.05` (5% buffer). bull 0.50→0.48, winter -0.31→-0.39, full 0.38→0.34. trade count 285→260 — 25 marginal-regime entries silenced but the rest no better. Buffer alone is roughly neutral / slight pessimization.
a10a1ff	evolve	AltsBollBreak	-1.70	-29.21	r2: add 1d close>EMA200_1d macro filter on top of r1's 4h ema gate. full_5y profit collapsed +894%→+252%, sharpe 0.17→0.13. Winter: trade count 11→5 (good) but 5/5 still losers, sharpe -1.18→-1.70. The 1d filter SUPPRESSES PROFIT (kills bull-tail entries) more than it defends winter. Reverting r3, will try hard stoploss as winter defense instead.
a10a1ff	evolve	BNBMeanRevertSharp	0.0789	-3.10	r2: revert r1's RSI<30→<25. Numbers EXACTLY match r0 (deterministic) — confirms r1 finding clean. All 4 regimes positive: bull 0.35/+5.15%, winter 0.23/+3.78%, recovery 0.08/+3.41%, full 0.13/+10.8%. Non-dominated. profit_floor still FAIL (small profits) — that's the next thing to address but the underlying signal is clearly the local optimum here.
a10a1ff	evolve	TrendRegimeFiltered	-0.51	-22.72	r2: keep 1.05 buffer + ADD 1d EMA200 7-bar slope-up filter. bull 0.45 (drop from 0.48), winter -0.51 (worse vs -0.39), full 0.31 (drop from 0.34). Slope filter is neutral / slight pessimization. r1+r2 layered defenses both ineffective; reverting to r0 baseline in r3.
b0624bf	evolve	AltsBollBreak	-3.82	-30.99	r3: revert r2 1d filter, add hard stoploss=-0.10. full_5y improved (+894%→+1067%, sharpe 0.17→0.21, DD -39→-31), but winter Sharpe COLLAPSED -1.18→-3.82 — losses tighter via stoploss → smaller std → big negative Sharpe. The DUAL of v0.4.0 Pareto degeneracy: sizing-DOWN inflates Sharpe, stoploss-tightening DEFLATES it. Robust hurt.
